 	Area	%Area
1	16384	62.512
2	16384	67.523
3	16384	71.991
4	16384	78.564
5	16384	74.689
6	16384	94.312
7	16384	65.509
8	16384	71.582
9	16384	60.211
10	16384	61.145
11	16384	80.243
12	16384	59.229
13	16384	94.952
14	16384	60.095
15	16384	57.373
16	16384	62.195
17	16384	64.209
18	16384	60.785
19	16384	65.814
20	16384	69.684
21	16384	61.853
22	16384	83.295
23	16384	76.971
24	16384	72.943
25	16384	61.414
26	16384	64.252
27	16384	69.757
28	16384	72.174
29	16384	78.821
30	16384	73.181
31	16384	65.753
32	16384	65.692
33	16384	69.421
34	16384	75.378
35	16384	47.009
36	16384	54.883
