 	Area	%Area
1	16384	74.969
2	16384	73.175
3	16384	67.407
4	16384	74.249
5	16384	76.404
6	16384	78.369
7	16384	71.082
8	16384	75.928
9	16384	79.822
10	16384	77.222
11	16384	76.562
12	16384	74.988
13	16384	72.778
14	16384	73.120
15	16384	68.188
16	16384	75.769
17	16384	73.047
18	16384	72.113
19	16384	82.733
20	16384	79.980
21	16384	72.217
22	16384	80.658
23	16384	77.960
24	16384	86.011
25	16384	67.865
26	16384	70.782
27	16384	74.451
28	16384	70.978
29	16384	72.552
30	16384	68.964
31	16384	76.813
32	16384	77.271
33	16384	75.482
34	16384	70.819
35	16384	74.231
36	16384	71.613
37	16384	85.730
38	16384	68.347
39	16384	72.180
40	16384	74.451
41	16384	78.156
42	16384	76.953
43	16384	75.055
44	16384	76.422
45	16384	75.793
46	16384	75.793
47	16384	71.307
48	16384	69.629
49	16384	75.482
50	16384	69.757
51	16384	73.956
52	16384	73.480
53	16384	76.495
54	16384	72.430
