 	Area	%Area
1	16384	68.036
2	16384	66.583
3	16384	61.438
4	16384	65.662
5	16384	70.081
6	16384	62.775
7	16384	63.025
8	16384	65.900
9	16384	63.385
10	16384	65.833
11	16384	61.920
12	16384	60.999
13	16384	66.156
14	16384	63.654
15	16384	60.736
16	16384	67.426
17	16384	61.597
18	16384	63.043
19	16384	68.561
20	16384	67.700
21	16384	70.270
22	16384	68.323
23	16384	63.562
24	16384	71.912
25	16384	65.033
26	16384	64.362
27	16384	62.982
28	16384	62.640
29	16384	62.555
30	16384	63.397
31	16384	66.016
32	16384	63.501
33	16384	55.310
34	16384	63.501
35	16384	61.700
36	16384	63.538
37	16384	59.351
38	16384	70.636
39	16384	61.926
40	16384	62.469
41	16384	60.822
42	16384	63.373
43	16384	62.640
44	16384	70.599
45	16384	61.395
46	16384	62.701
47	16384	62.677
48	16384	63.251
49	16384	67.975
50	16384	61.267
51	16384	62.860
52	16384	63.495
53	16384	61.139
54	16384	56.854
