 	Area	%Area
1	16384	67.548
2	16384	66.150
3	16384	60.944
4	16384	64.771
5	16384	69.147
6	16384	62.775
7	16384	63.025
8	16384	65.900
9	16384	62.689
10	16384	65.112
11	16384	60.895
12	16384	60.010
13	16384	66.156
14	16384	63.049
15	16384	59.857
16	16384	66.608
17	16384	61.597
18	16384	63.043
19	16384	68.561
20	16384	67.249
21	16384	69.922
22	16384	67.957
23	16384	63.562
24	16384	71.490
25	16384	64.655
26	16384	63.470
27	16384	62.366
28	16384	61.865
29	16384	61.908
30	16384	62.598
31	16384	66.016
32	16384	62.933
33	16384	55.310
34	16384	62.683
35	16384	59.918
36	16384	62.555
37	16384	59.351
38	16384	69.739
39	16384	61.090
40	16384	61.902
41	16384	60.822
42	16384	62.555
43	16384	61.969
44	16384	68.958
45	16384	59.943
46	16384	61.853
47	16384	61.920
48	16384	62.567
49	16384	67.511
50	16384	61.267
51	16384	62.860
52	16384	62.982
53	16384	60.400
54	16384	56.854
