 	Area	%Area
1	16384	96.954
2	16384	99.280
3	16384	99.274
4	16384	97.461
5	16384	97.150
6	16384	95.850
7	16384	96.143
8	16384	97.559
9	16384	97.980
10	16384	96.625
11	16384	98.932
12	16384	96.692
13	16384	99.255
14	16384	97.235
15	16384	98.871
16	16384	99.554
17	16384	39.001
18	16384	98.322
19	16384	95.422
20	16384	96.899
21	16384	99.066
22	16384	96.692
23	16384	99.261
24	16384	92.578
25	16384	97.577
26	16384	98.877
27	16384	99.097
28	16384	98.151
29	16384	98.389
30	16384	99.213
31	16384	98.950
32	16384	97.589
33	16384	99.017
34	16384	99.536
35	16384	96.545
36	16384	99.573
37	16384	98.877
38	16384	98.383
39	16384	99.799
40	16384	99.030
41	16384	98.938
42	16384	98.169
43	16384	93.787
44	16384	98.279
45	16384	98.779
46	16384	97.504
47	16384	96.637
48	16384	98.242
49	16384	98.792
50	16384	98.804
51	16384	97.290
52	16384	97.571
53	16384	97.632
54	16384	99.225
