 	Area	%Area
1	16384	56.598
2	16384	59.393
3	16384	55.322
4	16384	55.450
5	16384	56.433
6	16384	54.358
7	16384	51.398
8	16384	54.828
9	16384	56.116
10	16384	54.919
11	16384	49.084
12	16384	52.545
13	16384	51.038
14	16384	55.847
15	16384	54.163
16	16384	54.272
17	16384	52.618
18	16384	55.389
19	16384	57.745
20	16384	52.527
21	16384	55.182
22	16384	51.898
23	16384	56.110
24	16384	52.832
25	16384	52.026
26	16384	53.076
27	16384	51.501
28	16384	52.863
29	16384	53.357
30	16384	53.534
31	16384	55.457
32	16384	54.865
33	16384	55.432
34	16384	55.505
35	16384	56.537
36	16384	55.414
37	16384	63.495
38	16384	52.057
39	16384	56.653
40	16384	59.698
41	16384	57.587
42	16384	55.450
43	16384	49.457
44	16384	50.934
45	16384	57.013
46	16384	57.849
47	16384	58.087
48	16384	52.356
49	16384	55.872
50	16384	53.564
51	16384	54.706
52	16384	52.991
53	16384	55.865
54	16384	53.259
