 	Area	%Area
1	16384	75.903
2	16384	72.852
3	16384	80.530
4	16384	74.335
5	16384	73.224
6	16384	68.127
7	16384	72.137
8	16384	64.404
9	16384	70.740
10	16384	71.191
11	16384	73.315
12	16384	74.329
13	16384	69.379
14	16384	64.984
15	16384	69.855
16	16384	68.585
17	16384	72.760
18	16384	74.213
19	16384	73.236
20	16384	72.443
21	16384	73.932
22	16384	73.840
23	16384	72.644
24	16384	76.361
25	16384	71.002
26	16384	66.180
27	16384	74.554
28	16384	71.472
29	16384	74.194
30	16384	75.690
31	16384	68.494
32	16384	68.768
33	16384	66.235
34	16384	68.933
35	16384	72.302
36	16384	69.550
37	16384	69.812
38	16384	74.304
39	16384	68.823
40	16384	76.270
41	16384	69.232
42	16384	65.662
43	16384	72.443
44	16384	69.257
45	16384	71.930
46	16384	70.490
47	16384	68.958
48	16384	73.810
49	16384	74.078
50	16384	66.028
51	16384	67.786
52	16384	69.678
53	16384	74.725
54	16384	76.776
