 	Area	%Area
1	16384	75.592
2	16384	72.473
3	16384	80.304
4	16384	74.121
5	16384	72.955
6	16384	67.877
7	16384	72.137
8	16384	62.756
9	16384	69.812
10	16384	70.593
11	16384	72.833
12	16384	74.329
13	16384	69.379
14	16384	64.111
15	16384	69.324
16	16384	68.188
17	16384	72.443
18	16384	73.505
19	16384	72.711
20	16384	72.443
21	16384	73.645
22	16384	73.840
23	16384	72.015
24	16384	75.781
25	16384	69.067
26	16384	65.656
27	16384	74.554
28	16384	71.051
29	16384	73.785
30	16384	75.690
31	16384	68.494
32	16384	68.054
33	16384	65.588
34	16384	68.372
35	16384	71.722
36	16384	68.646
37	16384	69.812
38	16384	73.981
39	16384	67.462
40	16384	75.269
41	16384	69.232
42	16384	64.984
43	16384	72.015
44	16384	69.257
45	16384	70.209
46	16384	68.793
47	16384	68.414
48	16384	73.810
49	16384	73.254
50	16384	64.740
51	16384	67.786
52	16384	69.147
53	16384	74.725
54	16384	76.776
