 ,Area,Mean,Min,Max
1,16384,121.294,1,373
2,16384,89.433,0,317
3,16384,264.297,9,875
4,16384,202.228,0,916
5,16384,138.905,0,575
6,16384,136.153,3,1032
7,16384,183.738,5,621
8,16384,161.348,13,600
9,16384,141.291,5,358
10,16384,141.26,15,383
11,16384,153.921,16,911
12,16384,168.901,25,396
13,16384,194.363,14,1306
14,16384,170.323,31,377
15,16384,207.908,25,495
16,16384,223.123,60,538
17,16384,302.96,58,673
18,16384,318.232,98,679
19,16384,207.469,29,544
20,16384,195.669,22,670
21,16384,233.153,35,619
22,16384,232.303,52,1047
23,16384,213.777,7,868
24,16384,251.552,25,935
25,16384,220.389,50,522
26,16384,225.658,46,525
27,16384,223.083,20,729
28,16384,212.128,2,762
29,16384,247.274,21,1030
30,16384,240.436,15,915
31,16384,309.663,65,875
32,16384,327.146,66,916
33,16384,376.424,23,1432
34,16384,397.641,93,1390
35,16384,365.134,1,1731
36,16384,417.521,42,1726
