 ,Area,Mean,Min,Max
1,16384,77.999,0,362
2,16384,79.09,0,419
3,16384,82.962,0,317
4,16384,81.356,0,269
5,16384,51.094,0,336
6,16384,50.626,0,264
7,16384,83.756,0,270
8,16384,111.168,2,301
9,16384,116.717,3,371
10,16384,112.636,0,359
11,16384,126.31,2,438
12,16384,128.545,2,461
13,16384,80.492,0,241
14,16384,72.426,0,271
15,16384,105.043,0,547
16,16384,95.349,2,316
17,16384,144.592,17,426
18,16384,119.129,0,851
19,16384,109.851,0,490
20,16384,137.695,2,516
21,16384,103.913,0,450
22,16384,118.053,0,506
23,16384,115.927,7,577
24,16384,99.485,0,365
25,16384,132.918,8,376
26,16384,87.314,0,312
27,16384,96.169,0,332
28,16384,90.129,0,309
29,16384,117.149,3,385
30,16384,114.765,10,342
31,16384,111.077,2,349
32,16384,119.42,3,462
33,16384,194.314,21,587
34,16384,236.729,2,695
35,16384,191.679,10,573
36,16384,203.577,24,596
37,16384,97.454,0,361
38,16384,108.528,0,581
39,16384,100.652,1,601
40,16384,72.764,0,287
41,16384,100.508,0,361
42,16384,102.693,0,716
43,16384,106.885,0,457
44,16384,122.726,0,399
45,16384,153.988,0,528
46,16384,101.714,0,737
47,16384,110.842,0,444
48,16384,124.335,0,407
49,16384,90.93,0,350
50,16384,103.101,0,382
51,16384,220.326,23,606
52,16384,194.618,13,763
53,16384,186.131,19,664
54,16384,212.262,26,599
