 ,Area,Mean,Min,Max
1,16384,224.737,13,1165
2,16384,213.269,8,574
3,16384,117.799,0,400
4,16384,149.894,6,447
5,16384,62.308,0,243
6,16384,59.131,0,279
7,16384,92.392,0,327
8,16384,96.41,0,385
9,16384,94.041,0,524
10,16384,110.599,0,489
11,16384,78.851,0,337
12,16384,86.99,0,484
13,16384,156.658,0,407
14,16384,168.475,1,1189
15,16384,183.759,8,610
16,16384,185.628,17,649
17,16384,196.875,6,783
18,16384,220.243,6,851
19,16384,196.321,9,735
20,16384,203.184,15,625
21,16384,155.608,0,910
22,16384,157.233,0,709
23,16384,187.077,23,591
24,16384,164.467,4,823
25,16384,200.188,7,560
26,16384,189.426,11,677
27,16384,119.26,2,624
28,16384,134.353,0,560
29,16384,122.833,0,558
30,16384,114.046,0,494
31,16384,188.377,14,633
32,16384,184.464,12,684
33,16384,197.308,14,614
34,16384,201.338,31,593
35,16384,262.96,25,714
36,16384,251.528,29,701
37,16384,277.031,67,742
38,16384,213.47,23,977
39,16384,176.417,16,750
40,16384,181.717,0,699
41,16384,121.815,2,524
42,16384,117.318,0,455
43,16384,170.994,16,656
44,16384,168.881,15,509
45,16384,138.73,1,403
46,16384,152.63,13,449
47,16384,136.861,1,652
48,16384,145.918,4,627
49,16384,213.612,32,745
50,16384,230.188,25,692
51,16384,218.041,36,720
52,16384,214.388,43,532
53,16384,225.348,19,761
54,16384,222.469,11,671
