 ,Area,Mean,Min,Max
1,16384,74.01,0,277
2,16384,101.542,0,591
3,16384,79.65,0,283
4,16384,81.865,0,281
5,16384,90.778,0,271
6,16384,103.499,2,459
7,16384,112.245,3,329
8,16384,117.227,3,453
9,16384,88.856,0,279
10,16384,93.262,0,254
11,16384,80.076,0,266
12,16384,88.323,0,316
13,16384,127.146,5,373
14,16384,135.949,0,396
15,16384,72.306,0,278
16,16384,80.125,0,411
17,16384,85.884,0,261
18,16384,80.788,0,584
19,16384,112.893,0,314
20,16384,113.396,5,269
21,16384,62.632,0,279
22,16384,58.689,0,331
23,16384,49.575,0,212
24,16384,54.328,0,210
25,16384,86.756,0,263
26,16384,86.578,0,274
27,16384,79.34,0,403
28,16384,74.851,0,283
29,16384,95.119,0,291
30,16384,78.19,0,253
31,16384,109.691,0,416
32,16384,119.861,1,989
33,16384,183.372,32,567
34,16384,207.357,30,488
35,16384,132.099,11,397
36,16384,135.601,18,348
37,16384,97.349,2,362
38,16384,98.876,0,425
39,16384,91.532,0,446
40,16384,94.8,0,325
41,16384,90.019,0,318
42,16384,85.201,0,327
43,16384,149.088,0,469
44,16384,91.303,0,449
45,16384,96.732,0,256
46,16384,89.361,0,414
47,16384,118.231,11,347
48,16384,135.773,7,380
49,16384,115.637,3,355
50,16384,118.373,0,578
51,16384,111.738,3,301
52,16384,123.238,4,306
53,16384,113.862,3,308
54,16384,119.324,9,376
