 	Area	%Area
1	16384	95.087
2	16384	94.189
3	16384	92.969
4	16384	91.315
5	16384	91.345
6	16384	97.021
7	16384	94.244
8	16384	94.385
9	16384	93.646
10	16384	93.988
11	16384	91.833
12	16384	94.745
13	16384	96.954
14	16384	92.279
15	16384	91.052
16	16384	98.395
17	16384	94.543
18	16384	93.536
19	16384	91.376
20	16384	93.610
21	16384	87.738
22	16384	94.757
23	16384	92.755
24	16384	92.358
25	16384	89.484
26	16384	92.566
27	16384	91.473
28	16384	94.519
29	16384	88.354
30	16384	94.763
31	16384	91.351
32	16384	90.588
33	16384	92.261
34	16384	96.436
35	16384	93.829
36	16384	95.679
37	16384	94.647
38	16384	91.010
39	16384	93.994
40	16384	94.836
41	16384	92.749
42	16384	94.385
43	16384	93.195
44	16384	98.285
45	16384	95.135
46	16384	94.360
47	16384	96.088
48	16384	93.365
49	16384	95.154
50	16384	84.003
51	16384	95.178
52	16384	94.373
53	16384	94.965
54	16384	89.722
