 	Area	%Area
1	16384	61.249
2	16384	60.156
3	16384	58.655
4	16384	59.760
5	16384	60.889
6	16384	59.845
7	16384	56.158
8	16384	54.602
9	16384	58.398
10	16384	57.117
11	16384	58.722
12	16384	58.063
13	16384	57.849
14	16384	56.921
15	16384	58.691
16	16384	58.490
17	16384	56.561
18	16384	55.487
19	16384	59.686
20	16384	60.364
21	16384	61.292
22	16384	58.276
23	16384	59.192
24	16384	56.879
25	16384	57.343
26	16384	59.619
27	16384	58.386
28	16384	57.239
29	16384	55.518
30	16384	55.988
31	16384	56.519
32	16384	55.896
33	16384	58.923
34	16384	62.799
35	16384	59.314
36	16384	60.400
37	16384	56.421
38	16384	62.329
39	16384	58.459
40	16384	58.209
41	16384	58.893
42	16384	62.872
43	16384	59.064
44	16384	57.031
45	16384	58.112
46	16384	60.681
47	16384	59.760
48	16384	61.047
49	16384	59.790
50	16384	59.106
51	16384	58.777
52	16384	61.188
53	16384	58.826
54	16384	58.887
